event,start_s,end_s,duration_s,peak_db,rms_db,attack_time_s,median_f0_hz,pitch_step_count,max_pitch_step_hz,possible_polyphony,auto_verdict,rationale,suggested_annotation,candidate_score
472,238.75773242630385,239.11473922902493,0.3570068027210884,-11.063506606728064,-21.1446381034496,0.01596371882086168,52.18934911242604,0,0.0,True,Review,possible polyphony,"Review candidate: duration and level are favorable, but audition remains required.",0.7049480313562733
32,17.972244897959182,18.204444444444444,0.23219954648526078,-19.0251494866704,-30.383445898476495,0.034829931972789115,220.5,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7032836606610027
77,37.047437641723356,37.29124716553288,0.2438095238095238,-15.33748636057452,-29.436148368133736,0.09287981859410431,51.21951219512195,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.703193357928337
565,273.0086167800454,273.42657596371885,0.4179591836734694,-17.254404777809405,-25.993693560758203,0.046439909297052155,97.13656387665198,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7031199236438023
488,243.67020408163265,244.0301133786848,0.3599092970521542,-19.447513998523714,-30.91528284539645,0.034829931972789115,88.2,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.701632802535855
535,261.2709297052154,261.68888888888887,0.4179591836734694,-15.089999670976413,-28.607662934782823,0.046439909297052155,128.19767441860466,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6986242809718861
110,49.24952380952381,49.5978231292517,0.34829931972789113,-20.40366381143815,-32.13873939699355,0.034829931972789115,121.15384615384616,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6914467162150028
288,150.1518367346939,150.5814058956916,0.4295691609977324,-13.753861439622025,-31.032090316574493,0.034829931972789115,250.5681818181818,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6877413894675133
55,29.8724716553288,30.25560090702948,0.3831292517006803,-17.445869386800233,-30.90849113192615,0.046439909297052155,217.24137931034483,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6868872338150037
108,48.32072562358277,48.71546485260771,0.3947392290249433,-17.269877308532873,-30.156638006657342,0.046439909297052155,106.77966101694915,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6845557085261024
403,199.02839002267575,199.282358276644,0.25396825396825395,-24.890765910984737,-31.395420518224157,0.0072562358276643995,85.7976653696498,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6838501538485007
473,239.23519274376417,239.6299319727891,0.3947392290249433,-11.089124520347637,-21.072175258532226,0.0,55.33249686323714,0,0.0,True,Review,possible polyphony,"Review candidate: duration and level are favorable, but audition remains required.",0.683647773186258
61,31.730068027210883,32.182857142857145,0.4527891156462585,-15.059929051923419,-27.935686665388584,0.034829931972789115,181.48455493835525,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6824247952078324
27,16.590657596371884,16.857687074829933,0.26702947845804986,-21.490817057890006,-33.603011392944445,0.034829931972789115,250.5681818181818,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.6812612619769163
